skill	*Id	*Laz2	*Laz/Level	*Laz	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	*Laz/Damage at 1	*Laz/Damage at 10	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
VampireMeteor	171							28													vampiremeteorcenter									ln12																																																					sorceress_meteor							fire_cast_2				28						vampiremeteorcenter												1	0		none												SQ	SQ	SC																													1															0	0									1											ln12	Explosion Radius							5	Explosion Radius baseline	1	Explosion Radius per level	30	Duration of ground fire baseline	15	Duration of ground fire per level									1								8															fire	5	5	5	5	5	5	10	5	5	5	5	5												0	0
GargoyleTrap	172							93													shafire3																																																																									51						shafire3												1	0		none												SQ	SQ	xx	18																												1															0	0									1																																			1								8																																							0	0
SpiderLay	173							23																			spiderlay	slowed	300		velocitypercent	-100																																																																																1	0		none												SQ	SQ	A2																													1															0	0									1																	20	Frames to apply aura to target	30	Slow Duration per level	75	Buff Duration per level													1								8																																							0	0
VampireHeal	174																																																																																																															1	0		none												SQ	SQ	SC																													1															0	0									1																																			1								8																																							0	0
VampireRaise	175																																																																																																															1	0		none												SQ	SQ	SC							1	1	1		1																		1															0	0									1																																			1								8																																							0	0
Submerge	176						51	94																																																																																					37	52																		1	0		none												SQ	SQ	xx																													1															0	0									1																																			1								8																																							0	0
FetishAura	177							111																						ln12																																																	necromancer_curse_1															53						curseeffectred				3	Missile Density							1	0		none												SQ	SQ	SC																													1															0	0									1																			10	Attack Speed % baseline	50	Duration baseline & per level	5	Attack Speed % per level	10	Radius baseline (+2 per level)									1								8																																							0	0
FetishInferno	178						53	95													fetishinferno1																																																																									54						fetishinferno1	fetishinferno2											1	0		none												SQ	SQ	A1																													1															0	0									1											0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	3	Anim Frame Density (Min=1)			15	Anim Frame Adder (Min=1)															1								8																																							0	0
ZakarumHeal	179							96																	receiving																																																													receiving				healing																						1	0		none												SQ	SQ	S1																													1															0	0									1											15+5*lvl	heal % min	100	heal % max																					1								8																																							0	0
Emerge	180						52																																																																																						38																			1	0		none												SQ	SQ	S1																													1															0	0									1																																			1								8																																							0	0
Resurrect	181							97																																																																							fallenshaman_resurrect_cast											healing			39																			1	0		none												SQ	SQ	xx							1	1	1		1					1													1															0	0									1																																			1								8																																							0	0
Bestow	182							96																	receiving																																																													receiving				healing																						1	0		none												SQ	SQ	xx							1																						1															0	0									1											15+5*lvl	Heal % Min	50	Heal % Max																					1								8																																							0	0
MissileSkill1	183							110																																																																																						66																		1	0		none												SQ	SQ	S1																													1															0	0									1																																			1								8																																							0	0
MonTeleport	184							98																																																																							sorceress_teleport											teleport																						1	0		none												SQ	SQ	S1																													1															0	0									1																																			1								8																																							0	0
PrimeLightning	185																	monsterlight																																																													mephisto_lightning_cast																				monsterlight													1	0		none												SQ	SQ	A2																													1															0	0									1																																			1								8																																							0	0
PrimeBolt	186							17													chargedstrikebolt																																																										mephisto_chargedbolt_cast															23						chargedbolt												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl+2	# of Bolt Missiles created																							1								8																																							0	0
PrimeBlaze	187							23													blaze						blaze		dm12																																																		monster_cast_fire																				blaze													1	0		none												SQ	SQ	A1																													1															0	0									1																			0	Buff Duration Min	60	Buff Duration Max													1								8																																							0	0
PrimeFirewall	188							24													vampirefirewallmaker	vampirefirewall																																																									monster_cast_fire															26						vampirefirewallmaker												1	0		none												SQ	SQ	A1																													1															0	0									1											par1	# of max Fire Walls (oldest is removed when the limit is hit)							0	# of max Fire Walls (oldest is removed when the limit is hit)															1								8																																							0	0
PrimeSpike	189																	monglacialspike											ln12	ln34																																																	monster_cast_cold																				monglacialspike													1	0		none												SQ	SQ	A1																													1															0	0									1																			4	Radius baseline	0	Radius per level	25	Freeze frames baseline	10	Freeze frames per level									1								8																																							0	0
PrimeIceNova	190							22													frostnova																																																										monster_cast_cold															25						frostnova				0	Missile Velocity Adder							1	0		none												SQ	SQ	A1																													1															0	0									1											0	Missile Velocity Adder																							1								8																																							0	0
PrimePoisonball	191							8													poisonball																																																										mephisto_orb_cast															17						poisonball												1	0		none												SQ	SQ	A1																													1															0	0									1											min(ln12,24)	# of Missiles created	par3	Missile Activation Frame	0	# of missiles that can trigger item modifier events			3	# of Missiles created baseline	0	# of Missiles created per level	1	Missile Activation Frame											1								8																																							0	0
PrimePoisonNova	192							99													primepoisoncloud																																																																									55						primepoisoncloud												1	0		none												SQ	SQ	A1																													1															0	0									1											lvl-1	# of Missile Subloops	2	Missiles Created Modifier (used as 16/#=Total Missiles created) (Min=1)																					1								8																																							0	0
DiabLight	193						53	152													diablight																																																										diablo_laser_cast														40	56						diablight				0	Delay between Missiles created							1	0		none												SQ	SQ	SC																													1															0	0									1	1										0	Missile Range (If 0, then use Missile Param2)	par1	Anim Frame Adder (Min=1)	2	Missile Frame Density (Min=1)			40	Anim Frame Adder															1								8																																							0	0
DiabCold	194							100																																																																							diablo_cold_cast																																	1	0		none												SQ	SQ	S2																													1															0	0									1	1																				200	Frames													1								8															mag	15	9	9	9	9	9	25	12	12	12	12	12				100	50	50	50					0	0
DiabFire	195							22													diabfire																																																										diablo_fire_cast															25						diabfire				0	Missile Velocity Adder							1	0		none												SQ	SQ	S1																													1															0	0									1	1										0	Missile Velocity Adder																							1								8																																							0	0
FingerMageSpider	196							101													fingermagespider							fingermagecurse	ln12		manarecovery	(-1)*edmx																																															fingermage_bolt_cast_1															57						fingermagespider												1	0		none												SQ	SQ	S1																													1															0	0									1											lvl-1	# of Missile Subloops							30	Duration for Mana drain baseline	10	Duration for Mana drain per level	24	Mana Recovery % Reduction											1								8																																							0	0
DiabWall	197					firestorm		102													diabwallmaker																																																										diablo_fire_cast															58						diabwallmaker												1	0		none												SQ	SQ	S1																				1									1															0	0									1	1										lvl	# of Missiles created																							1								8																																							0	0
DiabRun	198						54	103																																																																							diablo_run														41	59																		1	0		none												SQ	SQ	xx	22																												1															0	0									1	1										20	Velocity %							8	Anim Run Stop Frame Length	14	Anim Run Stop Event Frame	5	Anim Run Start Event Frame	13	Anim Run Loop Repeat Event Frame	16	Anim Run Loop Frame Length	6	Anim Run Loop Start Event Frame					1				5				8		17	9	9	9	9	9	33	9	9	9	9	9																										0	0
DiabPrison	199							104																																																						boneprison1	none																diablo_boneprison_rise																																	1	0		none												SQ	SQ	S3																													1															0	0									1	1																																		1								8																																							0	0
PoisonBallTrap	200																	trap poison ball left																																																																																	trap poison ball left													1	0		none												SC	SC	S1																													1															0	0									1																																			1								8		10	10	10	10	10	10	20	10	10	10	10	10																										0	0
AndyPoisonBolt	201																	andypoisonbolt																																																																																	andypoisonbolt													1	0		none												SQ	SQ	A1																													1															0	0									1																																			1								8																																							0	0
HireableMissile	202							110																																																																																						66																		1	0		none												SQ	SQ	A1																													1															0	0									1																																			1								8																																							0	0
DesertTurret	203							105													desertfireball																																																																									60						desertfireball												1	0		none												SQ	SQ	xx	26																												1															0	0									1											3	# of Missiles created																							1								8																																							0	0
ArcaneTower	204							106													lightningtowernova																																																										lightningorb_attack_1															61						lightningtowernova												1	0		none												SQ	SQ	xx	27																												1															0	0									1																																			1								8																																							0	0
MonBlizzard	205							28													monblizcenter																																																										monster_cast_cold											ice_cast_2				28						monblizcenter												1	3		none												SQ	SQ	S1																													1															0	0									1																																			1								8																																							0	0
Mosquito	206						55	107																																																																																					42	62																		1	0		none												SQ	SQ	xx	34																												1															0	0									1											4	# of Anim loops Min (1 loop = 1 frame)	7	# of Anim Frame loops Max (1 loop = 1 frame)	25	Heal % of current HP			12	Anim Repeat Start Frame															1								8		2	2	2	2	2	2	4	2	2	2	2	2			2	3	3	3	3	3	4	3	3	3	3	3				200								0	0
CursedBallTrapRight	207																	trap cursed skull right																																																																																	trap cursed skull right													1	0		none												SC	SC	S2																													1															0	0									1																																			1								8		10	5	5	5	5	5	20	5	5	5	5	5																										0	0
CursedBallTrapLeft	208																	trap cursed skull left																																																																																	trap cursed skull left													1	0		none												SC	SC	S2																													1															0	0									1																																			1								8		10	5	5	5	5	5	20	5	5	5	5	5																										0	0
MonFrozenArmor	209							18																			frozenarmor		ln34		skill_armor_percent	ln12																																															monster_cast_cold				sorceress_frozenarmor							ice_cast_3																						1	0		none												SQ	SQ	SC																													1															0	0									1																			30	Armor % baseline	5	Armor % per level	3600	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level					1								8																																				1			0	0
MonBoneArmor	210							18																			bonearmor				bonearmor	ln12*256	bonearmormax	ln12*256																																													necromancer_bonearmor																																	1	0		none												SQ	SQ	S1																													1															0	0									1																			20	Damage absorbed baseline	10	Damage absorbed per level													1								8																																							0	0
MonBoneSpirit	211							10													monbonespirit	monbonespirit																																																									monster_cast_fire															18						monbonespirit	monbonespirit											1	0		none												SQ	SQ	S1																													1															0	0									1											0	Damage %							15	Search range															1								8																																							0	0
MonCurseCast	212							112																					ln34	ln12																																																															18	30						curseeffectred		cursecast										1	5		none												SQ	SQ	S2																				1									1															0	0									1																			3	Radius baseline	1	Radius per level	300	Duration baseline	60	Duration per level	25	Resistance % reduction Min	70	Resistance % reduction Max	-50	Attack Speed % and Velocity %			1								8																																							0	0
HellMeteor	213							28													hellmeteordown																																																																								44																			1	4		none												SQ	SQ	A1																													1															0	0									1																																			1								8																																							0	0
RegurgitatorEat	214							108																																																																							regurgitator_eat_1															63						corpseexplosion	bigblood1											1	2		none												SQ	SQ	S1									1		1																		1															0	0									1											33	Heal % of target's max HP																							1								8																																							0	0
MonFrenzy	215						64	109																			monfrenzy		ln12		velocitypercent	dm34	attackrate	dm34	other_animrate	dm34																																																																												1	3		none												SQ	SQ	A2				1		1	1																						1															0	0									1											0	Damage %							200	Duration baseline	25	Duration per level	30	Speed % Min	110	Speed % Max									1	10	10						8	128																																						0	0
QueenDeath	216																																																																																													64																		1	0		none												SQ	SQ	xx	41																												1															0	0																																												1								8																																							0	0
Scroll of Identify	217					scroll of identify		113																																																																																																									0		none												SC	SC	xx																													1									1						0	1										1									1																									1								8																																							0	0
Book of Identify	218					book of identify		113																																																																																																									0		none												SC	SC	xx																													1									1						0	1										1									1																									1								8																																							0	0
Scroll of Townportal	219					scroll of townportal		113																																																																																																									0		none												SC	SC	xx																													1									1						0	1																			1																									1								8																																							0	0
Book of Townportal	220					book of townportal		113																																																																																																									0		none												SC	SC	xx																													1									1						0	1																			1																									1								8																																							0	0
Raven	221					raven		114																																																						druidhawk	raven	min(lvl,par2)	S1														druid_summon																																	1	0		none												SC	SC	xx				1	4																								1	20								1						0	1		1			1	8	6	0	1	1										0	HP %	ulvl + par1 + lvl	Summon Pet Level (Min=1)					-2	Summon Pet Level baseline	5	# of max ravens					12	# of hits baseline	1	# of hits per level					1	100	15						8		2	1	1	1	1	1	4	1	1	1	1	1																									256	1000	0
Plague Poppy	222					plague poppy		115																			vine_beast																																			plaguepoppy	vine	1	S1	Vine Attack	lvl												druid_summon																																	1	0		none												SC	SC	xx				1	4																								1	20								1						0	1					1	8	8	0	1	1										par3 * (lvl-1)	HP %	ulvl * 3 / 4 + lvl	Summon Pet Level (Min=1)									25	HP % per level											1								0															pois	12	7	12	15	17	19	16	7	12	15	17	19		10,9375	60,15625	100							256	1000	0
Wearwolf	223					wearwolf		116																			wolf		1000+skill('Shape Shifting'.ln12)		skill_staminapercent	par1	attackrate	dm34	item_tohit_percent	toht	item_maxhp_percent	par2+skill('Shape Shifting'.ln34)																																																					wolf_into	wolf_undo	45																			1	0		none												SC	SC	xx	22			1																1									1	20								1				25	25	0	1					1	8	15	0		1																		25	Stamina %	25	HP %	10	Attack Speed % Min	80	Attack Speed % Max									1	50	15						8	128																																					256	1000	0
Shape Shifting	224					shape shifting																																																																																																										1	0		none												SC	SC	xx				1																									1	20					Wearwolf									0	0					0	8	0	0	1								1											1000	Duration baseline	500	Duration per level	20	HP % baseline	5	HP % per level									1								8																																						256	1000	0
Firestorm	225					firestorm		117													firestormmaker																																																										druid_firecast_b											druid_fire_cast_1				67						firestormmaker												1	0		none												SC	SC	xx				1																1						druid_firecast_b	druid_fire_cast_1		1	20												15	15	1	1					1	8	4	0	1											ln12	# of Missiles created							3	# of Missiles created baseline	0	# of Missiles created per level											23	Damage synergy	1								2															fire	3	3	5	7	14	21	6	3	6	8	15	23	(skill('Molten Boulder'.blvl)+skill('Eruption'.blvl))*par8										256	1000	0
Oak Sage	226					oak sage		119																																												poisonresist	100	maxpoisonresist	100							oaksage	totem	1	NU	Oak Sage Aura	lvl												druid_summon																																	1	0		none												SC	SC	xx				1	4																								6	20								1						0	1					1	8	15	1	1	1										(lvl-1)*par1	HP %	ulvl	Summon Pet Level (Min=1)					30	HP % baseline (must match Oak Sage Aura Param3)	5	HP % per level (must match Oak Sage Aura Param4)									30	Radius baseline (must match Oak Sage Aura Param1)	2	Radius per level (must match Oak Sage Aura Param2)	1								8																																						384	3000	0
Summon Spirit Wolf	227					summon spirit wolf		119																							fireresist	min(ln78,85)	coldresist	min(ln78,85)	lightresist	min(ln78,85)	poisonresist	min(ln78,85)														item_armor_percent	(par4 * lvl) + ln56	tohit	ln12	damagepercent	skill('Summon Grizzly'.ln12)					spiritwolf	spiritwolf	min(lvl,par3)	S1														druid_summon																																	1	0		none												SC	SC	xx				1	4															1									6	20					Raven			1						0	1					1	8	15	0	1	1										skill('Summon Fenris'.ln12)	HP %	ulvl	Summon Pet Level (Min=1)					50	Attack Rating % baseline (also used for synergy)	25	Attack Rating % per level (also used for synergy)	5	# of max wolves	7	Armor % per level	50	Armor % baseline (also used for synergy)	10	Armor % per level (also used for synergy)	0	Resistance % baseline	5	Resistance % per level	1	75	20						8		2	1	2	4	5	8	6	1	2	4	5	8																									384	3000	0
Wearbear	228					wearbear		116																			bear		1000+skill('Shape Shifting'.ln12)		damagepercent	ln12	skill_armor_percent	ln34	item_maxhp_percent	par5 + skill('Shape Shifting'.ln34)																																																							bear_into	bear_undo	45																			1	0		none												SC	SC	xx	22			1																									6	20								1				25	25	0	1					1	8	15	0		1																		55	Damage % baseline	8	Damage % per level	25	Armor % baseline	6	Armor % per level	75	HP %							1								8	128																																					384	3000	0
Molten Boulder	229					molten boulder												moltenboulderemerge												par1																																																	druid_firecast_b											druid_fire_cast_1									moltenboulderemerge													1	0		none												SC	SC	xx				1																1						druid_firecast_b	druid_fire_cast_1		6	20					Firestorm							50	50	1	1					1	7	20	1	1																			7	Explosion Radius											10	Physical Damage synergy	8	Fire Damage synergy	1								8		6	4	7	10	13	16	12	5	8	11	14	17	skill('Volcano'.blvl)*par7	fire	6	4	7	10	13	16	12	5	8	11	14	17	skill('Firestorm'.blvl)*par8										384	3000	0
Arctic Blast	230					arctic blast	11	19													arcticblast1									ln12/4-2																																																										arctic_blast_cast	druid_windcast				15	24						arcticblast1	arcticblast2											1	0		none												SQ	SQ	xx	18	10																											6	20														1	1	1			6	0	2	24	1	1											ln12/2	Range (Duration of Missile) (Min=1)	20	Duration to channel if caster is a Monster (Min=1)					35	Range (Duration of missile) baseline	2	Range (Duration of missile) per level	4	Min Mana required to start casting									15	Damage synergy	1								2															cold	21	16	18	20	24	29	40	16	19	21	25	31	(skill('Cyclone Armor'.blvl)+skill('Hurricane'.blvl))*par8			100	15	15	15				384	3000	0
Cycle of Life	231					cycle of life		115																			vine_beast																																			cycleoflife	vine	1	S1	Vine Attack	lvl	CorpseCycler	lvl										druid_summon																																	1	0		none												SC	SC	xx				1	4																								12	20					Plague Poppy			1						0	1					1	8	10	0	1	1										par3 * (lvl-1)	HP %	ulvl * 3 / 4 + lvl	Summon Pet Level (Min=1)									25	HP % per level			3	Lifesteal % Min (must match CorpseCycler Param1)	12	Lifesteal % Max (must match CorpseCycler Param2)					1								8																																						512	3000	0
Feral Rage	232					feral rage	56	120																			feralrage		par1		velocitypercent	dm34	lifedrainmindam	par2 * lvl	lifedrainmaxdam	par2 * lvl																																																																												1	0		h2h												A1	A1	xx				1		1	1								1														12	20					Wearwolf			2	wolf					1	1					1	8	3	0	1											ln56	Damage %	lvl/par7 + par8	# of Max Charges			0	% Damage Dealt as Elemental (Used only if there is an Etype)	500	Duration	4	Lifesteal % per Charge	10	Velocity % Min	70	Velocity % Max	50	Damage % baseline	5	Damage % per level	2	# of Levels needed per max Charge gained	3	# of max Charges Min	1	20	10						8	128																																					512	3000	0
Maul	233					maul	56	120																			maul		par4		damagepercent	lvl*par3	stunlength	dm56																																																																														1	0		h2h												A1	A1	xx				1		1	1								1														12	20					Wearbear			2	bear					1	1					1	8	3	0	1											0	Damage %	lvl/par7 + par8	# of Max Charges			0	% Damage Dealt as Elemental (Used only if there is an Etype)					20	Damage % per Charge	500	Duration	10	Stun Length Min	100	Stun Length Max	2	# of Levels needed per max Charge gained	3	# of max Charges Min	1	20	10						8	128																																					512	3000	0
Eruption	234					eruption		28													erruption center																																																										druid_firecast_a											druid_fire_cast_2				28						erruption center												1	0		none												SC	SC	xx				1	4				1											1						druid_firecast_a	druid_fire_cast_2		12	20					Molten Boulder							50	50	0	1					1	8	15	0	1											par1	Radius	par2	Missile Delay					7	Radius to create Missiles	6	Missile Spawn Rate (Min=1)											12	Damage synergy	1								8															fire	15	6	12	16	18	22	25	6	12	16	19	23	(skill('Firestorm'.blvl)+skill('Volcano'.blvl))*par8										512	8000	0
Cyclone Armor	235					cyclone armor		18																			cyclonearmor				bonearmor	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256	bonearmormax	(ln12*(100+(skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8)/100)*256									absorbdamage	25																																			druid_cyclonearmor																																	1	0		none												SC	SC	xx				1																1									12	20					Arctic Blast									0	1					1	8	5	1	1	1																		40	Elemental Damage Absorbed baseline	12	Elemental Damage Absorbed per level											7	Damage Absorbed synergy	1								8																																						512	8000	0
Heart of Wolverine	236					heart of wolverine		119																																												poisonresist	100	maxpoisonresist	100							heartofwolverine	totem	1	NU	Wolverine Aura	lvl												druid_summon																																	1	0		none												SC	SC	xx				1	4																								18	20					Oak Sage			1						0	1					1	8	20	1	1	1										(lvl-1)*par1	HP %	ulvl	Summon Pet Level (Min=1)					25	HP % per level	3	Bonus Level	25	Attack Rating % baseline (must match Wolverine Aura)	7	Attack Rating % per level (must match Wolverine Aura)	20	Damage % baseline (must match Wolverine Aura Param5)	7	Damage % per level (must match Wolverine Aura Param6)	30	Radius baseline (must match Wolverine Aura Param1)	2	Radius per level (must match Wolverine Aura Param2)	1								8																																						640	8000	0
Summon Fenris	237					summon fenris		119																							fireresist	min(ln78,85)	coldresist	min(ln78,85)	lightresist	min(ln78,85)	poisonresist	min(ln78,85)														item_armor_percent	(par6 * lvl) + skill('Summon Spirit Wolf'.ln56)	tohit	skill('Summon Spirit Wolf'.ln12)	damagepercent	skill('Summon Grizzly'.ln12)					fenris	fenris	min(lvl,par3)	S1														druid_summon																																	1	0		none												SC	SC	xx				1	4															1									18	20					Oak Sage	Summon Spirit Wolf		1						0	1					1	8	20	0	1	1										ln12	HP %	ulvl	Summon Pet Level (Min=1)					50	HP % baseline (also used for synergy)	25	HP % per level (also used for synergy)	3	# of max wolves					4	Armor % per level	0	Resistance % baseline	5	Resistance % per level	1	150	20						8		7	2	3	6	8	11	12	2	3	6	9	13																									640	8000	0
Rabies	238					rabies	57	121													rabiesplague							rabies																																																																																				1	0		h2h												S3	S3	S3				1		1	1								1														18	20					Feral Rage			2	wolf					1	1					1	8	10	0	1											0	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)															18	Damage synergy	1	50	7		1	2			3															pois	6	4	5	7	11	16	14	4	5	7	11	16	(skill('Plague Poppy'.blvl))*par8			100	10	10	10				640	16000	0
Fire Claws	239					fire claws	58	2																	fire_hit																																																																																							1	0		h2h												A1	A1	xx				1		1	1								1														18	20					Feral Rage	Maul		2	wolf	bear				1	1					1	8	4	0	1											0	Damage %																					22	Damage synergy	1	50	15						8	128														fire	15	8	12	20	24	30	20	8	12	22	26	34	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Eruption'.blvl))*par8										640	16000	0
Twister	240					twister		118													twister																																																										druid_windcast															68						twister												1	0		none												SC	SC	xx				1																1									18	20					Cyclone Armor									1	1					1	8	7	0	1											par1	# of Missiles created	par2	Stun Length (Used by Missile pSrvDmgFunc function)					3	# of Missiles created	10	Stun Length											10	Damage synergy	1								7		12	4	7	10	13	16	16	4	7	11	14	17	(skill('Tornado'.blvl)+skill('Hurricane'.blvl))*par8																								640	16000	0
Vines	241					vines		115																			vine_beast																																			vinecreature	vine	1	S1	Vine Attack	lvl	VineCycler	lvl										druid_summon																																	1	0		none												SC	SC	xx				1	4																								24	20					Cycle of Life			1						0	1					1	8	14	1	1	1										par3 * (lvl-1)	HP %	ulvl * 3 / 4 + lvl	Summon Pet Level (Min=1)									20	HP % per level			1	Manasteal % Min (must match VineCycler Param1)	8	Manasteal % Max (must match VineCycler Param2)					1								8																																						768	16000	0
Hunger	242					hunger		122																																																																																																								1	0		h2h												S3	S3	S3				1		1	1								1														24	20					Fire Claws			2	wolf	bear				1	1					1	8	3	0	1											par5	Damage %	dm12	Lifesteal %	dm34	Manasteal %			50	Lifesteal % Min	200	Lifesteal % Max	50	Manasteal % Min	200	Manasteal % Max	-75	Damage %							1	50	10						8	128																																					768	32000	0
Shock Wave	243					shock wave		8													shockwave	shockwave																																																																								17						shockwave	shockwave											1	0		none												SC	SC	xx				1																									24	20					Maul			2	bear					1	1					1	8	7	0	1											5	# of Missiles created	0	Missile Activation Frame	0	# of missiles that can trigger item modifier events	ln12	Stun Length	40	Stun Length baseline	15	Stun Length per level											5	Damage synergy	1								8		10	3	5	7	7	7	20	3	5	7	7	7	skill('Maul'.blvl)*par8																								768	32000	0
Volcano	244					volcano		123													volcano									par1																																																	druid_firecast_a											druid_fire_cast_2						91				volcano overlay fire	volcano											1	0		none												SC	SC	xx				1	4				1											1						sorceress_cast_fire	druid_fire_cast_2		24	20					Eruption							100	100	0	1					1	8	25	0	1																	par2	Delay between Missiles created	12	Missile Range	2	Delay between Missiles created									12	Physical Damage synergy	12	Fire Damage synergy	1								8		8	2	4	6	8	10	10	2	4	6	8	10	skill('Molten Boulder'.blvl)*par7	fire	8	2	4	6	8	11	10	2	4	6	8	13	(skill('Eruption'.blvl)+skill('Armageddon'.blvl))*par8										768	32000	0
Tornado	245					tornado		118													tornado					42371				par2																																																	druid_windcast															69						tornado												1	0		none												SC	SC	xx				1	4															1									24	20					Twister									1	1					1	8	10	0	1											1	# of Missiles created					par1	Periodic Damage Delay	15	Periodic Damage Delay	3	Missile Radius											9	Damage synergy	1								8		25	8	14	20	24	28	35	8	15	21	25	29	(skill('Cyclone Armor'.blvl)+skill('Twister'.blvl)+skill('Hurricane'.blvl))*par8																								768	32000	0
Spirit of Barbs	246					spirit of barbs		119																																												poisonresist	100	maxpoisonresist	100							spiritofbarbs	totem	1	NU	Barbs Aura	lvl												druid_summon																																	1	0		none												SC	SC	xx				1	4																								30	20					Heart of Wolverine			1						0	1					1	8	25	1	1	1										(lvl-1)*par1	HP %	ulvl	Summon Pet Level (Min=1)					25	HP % per level	0	Bonus Level	50	Damage % returned baseline (must match Barbs Aura Param3)	10	Damage % returned per level (must match Barbs Aura Param4)					30	Radius baseline (must match Barbs Aura Param1)	2	Radius per level (must match Barbs Aura Param2)	1								8																																						896	64000	0
Summon Grizzly	247					summon grizzly		119																							fireresist	min(ln78,85)	coldresist	min(ln78,85)	lightresist	min(ln78,85)	poisonresist	min(ln78,85)														damagepercent	ln12	tohit	skill('Summon Spirit Wolf'.ln12)	item_armor_percent	skill('Summon Spirit Wolf'.ln56)					druidbear	grizzly	1	S1														druid_summon																																	1	0		none												SC	SC	xx				1	4																								30	20					Summon Fenris			1						0	1					1	8	40	0	1	1										skill('Summon Fenris'.ln12)	HP %	ulvl	Summon Pet Level (Min=1)					25	Damage % baseline (also used for synergy)	10	Damage % per level (also used for synergy)									0	Resistance % baseline	5	Resistance % per level	1	300	20						8		30	10	15	20	26	30	60	10	15	20	26	30																									896	64000	0
Fury	248					fury	37	13																																																																																					53	21																		1	0		h2h												A1	A1	A1				1		1	1																						30	20					Rabies			2	wolf					1	1					1	8	4	0	1											min((par5 + lvl -1), par6)	# of hits	ln34	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)			100	% Anim frame rollback	100	Damage % baseline	17	Damage % per level	2	# of hits Min	5	# of hits Max					1	50	7						8	128																																					896	64000	0
